Sep lot,Address,Sep guide,Sep guide low,Oct lot,Oct guide,Oct guide low,Guide move %,Our accepted offer,Hometrack AVM,Serco status,Status,Match verification
125A,"34 Murton Lane, Easington Lane, Houghton Le Spring, Tyne and Wear, DH5 0NB",£30000-£40000,30000,,,,,,£40000,Outside region,Not in October catalogue,postcode not in catalogue
72,"Rear of 292 Weelsby Street, Grimsby, North East Lincolnshire, DN32 8AB",£25000-£35000,25000,,,,,,N/A - workshop,Not on Serco list,Not in October catalogue,postcode not in catalogue
76,"108 High Street, Redcar, Cleveland, TS10 3DL",£25000-£50000,25000,,,,,50000,£82000,Outside region,Not in October catalogue,postcode not in catalogue
169,"4 Highfield Road, Newbold, Derbyshire, S41 7EY",£25000+,25000,,,,,25000,£310000,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
113,"Flat 110, 2 Moorfields, Liverpool, Merseyside, L2 2BS",£20000-£40000,20000,,,,,40000,£90000,CLOSED + NW paused,Not in October catalogue,different unit at this postcode - our unit not offered
114,"Residential Flat, 9A Battle Hill, Hexham, Northumberland, NE46 1BA",£20000-£40000,20000,,,,,,£64500,Outside region,Not in October catalogue,postcode not in catalogue
119,"Flat 29 The Old School Rooms, Great Moor Street, Bolton, Lancashire, BL1 1NR",£20000-£30000,20000,,,,,30000,£112000,CLOSED + NW paused,Not in October catalogue,postcode not in catalogue
122A,"First & Second Floor, 5 Cornmarket, Penrith, Cumbria, CA11 7DA",£20000-£45000,20000,,,,,45000,£136000,CLOSED + NW paused,Not in October catalogue,postcode not in catalogue
164,"2 Broad Street, St. Columb, Cornwall, TR9 6AS",£15000+,15000,,,,,,£20500,Outside region,Not in October catalogue,postcode not in catalogue
179,"Land at Green Lane, Warlingham, Surrey, CR6 9EE",£15000-£30000,15000,,,,,,N/A - land,Outside region,Not in October catalogue,postcode not in catalogue
75A,"Unit 1 Masonic Hall, 64 Briggate, Brighouse, Calderdale, HD6 1EF",£9000+,9000,,,,,,N/A - commercial,Outside region,Not in October catalogue,postcode not in catalogue
80,"Unit 3, 6A Alma Street, Taunton, Somerset, TA1 3AH",£5000+,5000,,,,,,N/A - commercial,Outside region,Not in October catalogue,postcode not in catalogue
160A,"18 Farringford Court, 1 Avenue Road, Lymington, Hampshire, SO41 9PA",£5000-£10000,5000,,,,,5000,£150000,Outside region,Not in October catalogue,postcode not in catalogue
168,"Flat A9-D Leighton Street, Leighton Street, Preston, Lancashire, PR1 8RH",£5000-£10000,5000,,,,,,N/A,CLOSED + NW paused,Not in October catalogue,postcode not in catalogue
171,"Plot 8 Boreham Place, New England, Halstead, Essex, CO9 4BD",£5000+,5000,,,,,,N/A - plot,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
172,"Plot 4 Station Road, Shirehampton, Bristol, Avon, BS11 9XA",£5000+,5000,,,,,,N/A - plot,Outside region,Not in October catalogue,postcode not in catalogue
174,"Garage and Land to the Rear of 16 Stanley Park Drive, Wembley, Middlesex, HA0 1SG",£5000+,5000,,,,,,N/A - garage,Outside region,Not in October catalogue,postcode not in catalogue
178,"Garage at Seddon Court, Hepplewhite Close, Crawley, West Sussex, RH11 9LF",£5000-£10000,5000,,,,,,N/A - garage,Outside region,Not in October catalogue,postcode not in catalogue
170,"Plot 2 Abbey Street, Ickleton, Saffron Walden, Essex, CB10 1SS",£3000+,3000,,,,,,N/A - plot,Serco region - VERIFY,Not in October catalogue,postcode not in catalogue
173,"Compound 1, Par Moor Road, Par, Cornwall, PL24 2SQ",£3000+,3000,,,,,,N/A - compound,Outside region,Not in October catalogue,postcode not in catalogue
152A,"Flat 201 Lemare Lodge, Fair Acres, Bromley, Kent, BR2 9BS",UNKNOWN,,,,,,,£226000,Outside region,Not in October catalogue,postcode not in catalogue
